Cycle,IF,ID,EX,MEM,WB,Event
0,"MOV  t0, 100","BUBBLE","BUBBLE","BUBBLE","BUBBLE",""
1,"MOV  t3, 0","MOV  t0, 100","BUBBLE","BUBBLE","BUBBLE",""
2,"MOV  t3, 0","BUBBLE","MOV  t0, 100","BUBBLE","BUBBLE",""
3,"MOV  t3, 0","BUBBLE","BUBBLE","MOV  t0, 100","BUBBLE",""
4,"MOV  t3, 0","BUBBLE","BUBBLE","BUBBLE","MOV  t0, 100",""
5,"SW   t3, 0(t0)","MOV  t3, 0","BUBBLE","BUBBLE","BUBBLE",""
6,"SW   t3, 0(t0)","BUBBLE","MOV  t3, 0","BUBBLE","BUBBLE",""
7,"SW   t3, 0(t0)","BUBBLE","BUBBLE","MOV  t3, 0","BUBBLE",""
8,"SW   t3, 0(t0)","BUBBLE","BUBBLE","BUBBLE","MOV  t3, 0",""
9,"MOV  t3, 5","SW   t3, 0(t0)","BUBBLE","BUBBLE","BUBBLE",""
10,"MOV  t3, 5","BUBBLE","SW   t3, 0(t0)","BUBBLE","BUBBLE",""
11,"MOV  t3, 5","BUBBLE","BUBBLE","SW   t3, 0(t0)","BUBBLE",""
12,"MOV  t3, 5","BUBBLE","BUBBLE","SW   t3, 0(t0)","BUBBLE","Stall (Memory)"
13,"MOV  t3, 5","BUBBLE","BUBBLE","SW   t3, 0(t0)","BUBBLE","Stall (Memory)"
14,"MOV  t3, 5","BUBBLE","BUBBLE","SW   t3, 0(t0)","BUBBLE","Stall (Memory)"
15,"MOV  t3, 5","BUBBLE","BUBBLE","SW   t3, 0(t0)","BUBBLE","Stall (Memory)"
16,"MOV  t3, 5","BUBBLE","BUBBLE","SW   t3, 0(t0)","BUBBLE","Stall (Memory)"
17,"MOV  t3, 5","BUBBLE","BUBBLE","SW   t3, 0(t0)","BUBBLE","Stall (Memory)"
18,"MOV  t3, 5","BUBBLE","BUBBLE","SW   t3, 0(t0)","BUBBLE","Stall (Memory)"
19,"MOV  t3, 5","BUBBLE","BUBBLE","SW   t3, 0(t0)","BUBBLE","Stall (Memory)"
20,"MOV  t3, 5","BUBBLE","BUBBLE","SW   t3, 0(t0)","BUBBLE","Stall (Memory)"
21,"MOV  t3, 5","BUBBLE","BUBBLE","SW   t3, 0(t0)","BUBBLE",""
22,"MOV  t3, 5","BUBBLE","BUBBLE","BUBBLE","SW   t3, 0(t0)",""
23,"SW   t3, 1(t0)","MOV  t3, 5","BUBBLE","BUBBLE","BUBBLE",""
24,"SW   t3, 1(t0)","BUBBLE","MOV  t3, 5","BUBBLE","BUBBLE",""
25,"SW   t3, 1(t0)","BUBBLE","BUBBLE","MOV  t3, 5","BUBBLE",""
26,"SW   t3, 1(t0)","BUBBLE","BUBBLE","BUBBLE","MOV  t3, 5",""
27,"MOV  t3, 0","SW   t3, 1(t0)","BUBBLE","BUBBLE","BUBBLE",""
28,"MOV  t3, 0","BUBBLE","SW   t3, 1(t0)","BUBBLE","BUBBLE",""
29,"MOV  t3, 0","BUBBLE","BUBBLE","SW   t3, 1(t0)","BUBBLE",""
30,"MOV  t3, 0","BUBBLE","BUBBLE","BUBBLE","SW   t3, 1(t0)",""
31,"SW   t3, 2(t0)","MOV  t3, 0","BUBBLE","BUBBLE","BUBBLE",""
32,"SW   t3, 2(t0)","BUBBLE","MOV  t3, 0","BUBBLE","BUBBLE",""
33,"SW   t3, 2(t0)","BUBBLE","BUBBLE","MOV  t3, 0","BUBBLE",""
34,"SW   t3, 2(t0)","BUBBLE","BUBBLE","BUBBLE","MOV  t3, 0",""
35,"MOV  t3, 4","SW   t3, 2(t0)","BUBBLE","BUBBLE","BUBBLE",""
36,"MOV  t3, 4","BUBBLE","SW   t3, 2(t0)","BUBBLE","BUBBLE",""
